"","ds","y","bus_conf","cpi","con_cred","con_exp","real_gdp","gov_con_exp"
"404",2002-08-01,0.552898968167012,-0.00292608398019748,0.00277008310249307,-0.779939452235964,0.00285892363557538,0.000516075454954024,0.00257038424634337
"405",2002-09-01,0.523965929498645,-0.00144664656982578,0.00165929203539829,-0.97954792110964,-0.00141863135850839,0.000515809258463618,0.00256379430984222
"406",2002-10-01,-0.319364211209273,-0.000673522772771477,0.00220750551876367,17.0731163963706,0.00537139764578543,0.000515543336437441,0.00255723807741015
"407",2002-11-01,-0.32929438112651,0.000818932520805182,0.00165289256198353,1.28886641,0.00390272787220591,0.00184922247153052,0.00038923364195087
"408",2002-12-01,-0.33608692419558,0.00203388128999878,0.00165016501650171,-0.45361211850321,0.00711824872313915,0.00184580915976129,0.00038908219807321
"409",2003-01-01,0.437615388938772,-0.000728350411894624,0.00438116100766693,4.11054236820545,0.00270205515919497,0.00184240842541383,0.000388930871994653
"410",2003-02-01,0.418643597687843,-0.00396614029887209,0.00544662309368191,0.13184483905745,0.000371692928542,0.00286753272559914,0.00315352388105117
"411",2003-03-01,0.404360679454034,-0.00412611546195963,0.00163132137031001,-0.736502757765823,0.0082936344696718,0.00285933349324141,0.00314361043048939
"412",2003-04-01,0.68374715589618,-0.000562503388345693,-0.00382096069869005,6.31689030166111,0.00297431038113283,0.00285118101586734,0.00313375911265612
"413",2003-05-01,0.650469897665406,0.00304681173311943,-0.00164024056861663,0.141482194711033,0.000931636268206359,0.00566069810008218,0.000781925759478774
"414",2003-06-01,0.610741791872124,0.00384562086000496,0.00109229929000539,-0.966823512902842,0.00662025930441401,0.00562883496469202,0.000781314829291224
"415",2003-07-01,0.544685020792054,0.00431500768550929,0.00326619488296131,0.912317390545635,0.00776183158388233,0.00559732852618211,0.000780704853008629
"416",2003-08-01,0.510954331372475,0.00426736003368392,0.00433604336043366,2.12127005355025,0.0124447545940918,0.00382722349751052,0.00202795567258796
"417",2003-09-01,0.487753308070549,0.00347203234200125,0.00324149108589948,-0.410669814602963,6.38202820857359e-05,0.00381263170386603,0.00202385139167793
"418",2003-10-01,1.69936576826447,0.00494484783066808,-0.00108166576527846,0.212039567714187,0.00136566687938733,0.00379815075388579,0.00201976369012269
"419",2003-11-01,1.49200930876725,0.00565862699593994,0.000540540540540509,-0.999863126567595,0.00687000522579262,0.00177915770778214,0.00150318644560699
"420",2003-12-01,1.3337675753466,0.00424261778627639,0.00269541778975741,20865.7229996498,0.00374702516583114,0.00177599792738059,0.00150093026757303
"421",2004-01-01,0.259959085090916,0.00157173190772252,0.00429414922168551,-0.0492970260819094,0.00733995863391002,0.0017728493506084,0.00149868085212046
"422",2004-02-01,0.253040438034141,2.93407428489285e-05,0.0021424745581145,-0.822973586580875,0.00405638881237946,0.00254025454721751,0.000889620093686538
"423",2004-03-01,0.255540438034141,-2.73854432675672e-05,0.0021378941742384,15.6367386571367,0.00700765605127307,0.00253381800450292,0.000888829373216327
"424",2004-04-01,0.32359822806957,0.000115396764392018,0.00160085378868736,-0.998188297687281,0.00156017830609212,0.00252741399741829,0.000888040057128947
"425",2004-05-01,0.308751844490153,-0.000569484440452176,0.00425079702444199,53.0764304079214,0.00922285686027235,0.00315109349184906,0.000609881415660096
"426",2004-06-01,0.308651844490153,-0.00160534881054232,0.00370566437268405,-0.404315374349749,-0.00196001568012549,0.00314119529181522,0.00060950968702933
"427",2004-07-01,0.0724890570985816,-0.00217950732723063,0.00105764145954515,1.57424197530864,0.00880056952081687,0.00313135908140483,0.000609138411266974
"428",2004-08-01,0.0773492162741772,-0.00311441151810064,0.000528541226215614,-0.768084096345033,0.00416114078526331,0.00333891370591211,-0.000183353014040044
