date,unscheduled,forecast,confcall,Rate,RateDiff,RateDecision,ChairPerson,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
2014-09-17,False,False,False,0.0,0.0,0,,2014-04-01,16841.475,1.353681331974031,2.672012378087653,2014-04-01,17345.62094,0.45949954907636714,1.8288220915207136,2014-07-01,103.298,0.17941481675443666,1.7062964603948252,2014-08-01,237.46,-0.01600013473796937,1.7150983482969036,2014-08-01,-6.1,0.10000000000000053,1.1000000000000005,2014-08-01,139257.0,188.0,2629.0,2014-08-01,58.1,1.7000000000000028,1.8000000000000043,2014-08-01,59.6,0.8999999999999986,1.7000000000000028,2014-08-01,185160.0,0.7580251078811756,3.5014757177354436,2014-08-01,456.0,13.432835820895523,19.68503937007874,2.0846704358608235,0.6098961811294088,-0.09148442716941131,2.0846704358608235,0.6098961811294088,-0.09148442716941131,0.4370517723209346,0.6098961811294088,-0.09148442716941131
2014-10-29,False,False,False,0.0,0.5,1,,2014-04-01,16841.475,1.353681331974031,2.672012378087653,2014-04-01,17345.62094,0.45949954907636714,1.8288220915207136,2014-08-01,103.332,0.032914480435237675,1.6267039084167632,2014-09-01,237.477,0.007159100480079132,1.6840509711232112,2014-09-01,-5.9,0.1999999999999993,1.2999999999999998,2014-09-01,139566.0,309.0,2751.0,2014-09-01,56.1,-2.0,0.10000000000000142,2014-09-01,58.6,-1.0,4.100000000000001,2014-09-01,184793.0,-0.19820695614603587,3.2842044076303543,2014-09-01,470.0,3.070175438596491,16.62531017369727,1.96528160789373,0.4905073531623154,-0.07357610297434732,1.96528160789373,0.4905073531623154,-0.07357610297434732,-0.11938882796709338,-0.11938882796709338,0.017908324195063996
2014-12-17,False,False,False,0.0,0.0,0,,2014-07-01,17047.098,1.22093225207414,3.1177281686652054,2014-07-01,17426.09088,0.4639207802266146,1.8447210052466942,2014-10-01,103.546,0.08699350448500175,1.5117054233167342,2014-11-01,236.983,-0.18826601524660014,1.2315249893208071,2014-11-01,-5.8,-0.09999999999999964,1.1000000000000005,2014-11-01,140109.0,291.0,2805.0,2014-11-01,57.6,-0.29999999999999716,0.6000000000000014,2014-11-01,59.3,2.1999999999999957,5.199999999999996,2014-11-01,186315.0,0.500574473938302,3.685751174231463,2014-11-01,442.0,-7.142857142857142,-0.8968609865470852,2.168129383634576,1.0687006322940507,-0.1603050948441076,2.168129383634576,1.0687006322940507,-0.1603050948441076,0.202847775740846,0.5781932791317352,-0.08672899186976028
2016-01-27,False,False,False,0.25,0.0,0,,2015-07-01,17486.021,0.36260438521951766,2.574766684628661,2015-07-01,17750.040230000002,0.4551283301508479,1.8589903623870152,2015-11-01,104.887,0.11453988374202234,1.1905106460980335,2015-12-01,237.761,-0.10755534268560658,0.638724751536489,2015-12-01,-5.0,0.09999999999999964,0.5999999999999996,2015-12-01,143097.0,273.0,2720.0,2015-12-01,48.0,-0.3999999999999986,-7.100000000000001,2015-12-01,55.3,-0.6000000000000014,-0.9000000000000057,2015-12-01,189599.0,0.48014499742968736,2.016669267316291,2015-12-01,546.0,8.333333333333332,9.859154929577464,2.0364649351979267,1.2871639012488032,0.01942541481267951,1.7864649351979267,1.0371639012488032,-0.2305745851873205,-0.13166444843664937,0.21846326895475254,0.1797305096567871
2016-03-16,False,True,False,0.25,0.0,0,,2015-10-01,17514.062,0.1603623831859808,2.1642838334722305,2015-10-01,17829.02,0.4449554422221052,1.8383826041305962,2016-01-01,105.187,0.21245379368164227,1.4222076519592664,2016-02-01,237.336,-0.1329675323582272,0.8472775790126708,2016-02-01,-4.9,-0.10000000000000053,0.5999999999999996,2016-02-01,143417.0,212.0,2578.0,2016-02-01,49.7,1.5,-3.1999999999999957,2016-02-01,54.3,0.7999999999999972,-2.6000000000000014,2016-02-01,190591.0,1.150065809026451,2.9125741777674583,2016-02-01,517.0,2.376237623762376,-4.2592592592592595,2.2421431928877413,1.3509749078365831,0.00985376382451253,1.9921431928877413,1.1009749078365831,-0.24014623617548747,0.20567825768981463,0.06381100658777994,-0.00957165098816698
2016-04-27,False,False,False,0.25,0.0,0,,2015-10-01,17514.062,0.1603623831859808,2.1642838334722305,2015-10-01,17829.02,0.4449554422221052,1.8383826041305962,2016-02-01,105.355,0.15971555420347228,1.4834079853585767,2016-03-01,238.08,0.3134796238244513,0.8916160965521974,2016-03-01,-5.0,-0.09999999999999964,0.40000000000000036,2016-03-01,143654.0,237.0,2744.0,2016-03-01,51.7,2.0,0.20000000000000284,2016-03-01,54.9,0.6000000000000014,-1.6000000000000014,2016-03-01,189361.0,-0.645361008652035,0.9849931205136683,2016-03-01,532.0,2.9013539651837523,10.833333333333334,2.333943692986707,1.4427754079355486,-0.003916311190332283,2.083943692986707,1.1927754079355486,-0.2539163111903323,0.09180050009896545,0.09180050009896545,-0.013770075014844813
2016-06-15,False,True,False,0.25,0.0,0,,2016-01-01,17613.264,0.5664134339595092,1.7769352062828523,2016-01-01,17906.86,0.43659157934648196,1.810391850486955,2016-04-01,105.742,0.24173594850551225,1.5236906533531789,2016-05-01,239.557,0.2364095869317792,1.0784764621246252,2016-05-01,-4.8,0.2999999999999998,0.7999999999999998,2016-05-01,143892.0,41.0,2367.0,2016-05-01,51.0,0.29999999999999716,-1.7999999999999972,2016-05-01,53.6,-2.1000000000000014,-2.1000000000000014,2016-05-01,189701.0,0.2075981997591227,0.6862765912275488,2016-05-01,571.0,-0.8680555555555556,13.745019920318724,2.458954725732992,1.6323734714362153,-0.03235602071543228,2.208954725732992,1.3823734714362153,-0.2823560207154323,0.125011032746285,0.18959806350066666,-0.0284397095251
2016-07-27,False,False,False,0.25,0.0,0,,2016-01-01,17613.264,0.5664134339595092,1.7769352062828523,2016-01-01,17906.86,0.43659157934648196,1.810391850486955,2016-05-01,105.902,0.15131168315333224,1.546663598270191,2016-06-01,240.222,0.27759572878272,1.0792865347959444,2016-06-01,-4.9,-0.10000000000000053,0.39999999999999947,2016-06-01,144150.0,258.0,2451.0,2016-06-01,52.8,1.7999999999999972,-0.7000000000000028,2016-06-01,56.1,2.5,0.10000000000000142,2016-06-01,191095.0,0.7348406176034918,1.521534710010572,2016-06-01,557.0,-2.4518388791593697,16.041666666666668,2.4934141431085104,1.6668328888117339,-0.03752493332176007,2.2434141431085104,1.4168328888117339,-0.2875249333217601,0.03445941737551861,0.03445941737551861,-0.005168912606327791
2016-09-21,False,True,False,0.25,0.0,0,,2016-04-01,17668.203,0.3119183360903585,1.4082545072288721,2016-04-01,17983.72,0.4292209801160035,1.7776228698440693,2016-07-01,106.218,0.17541874151200304,1.6274864376130274,2016-08-01,240.545,0.18492217858317475,1.0553158595656909,2016-08-01,-4.9,-0.10000000000000053,0.1999999999999993,2016-08-01,144664.0,143.0,2538.0,2016-08-01,49.4,-2.8999999999999986,-1.7000000000000028,2016-08-01,51.7,-3.1999999999999957,-7.299999999999997,2016-08-01,190721.0,-0.029877658849552884,0.7676944861254941,2016-08-01,575.0,-8.439490445859873,11.003861003861005,2.5562136150247703,1.6711975736299998,-0.03817963604449995,2.3062136150247703,1.4211975736299998,-0.2881796360444999,0.0627994719162599,0.004364684818265907,-0.000654702722739875
2016-11-02,False,False,False,0.25,0.0,0,,2016-07-01,17764.388,0.5443960543129239,1.5919402132709228,2016-07-01,18059.31,0.4203246046980276,1.7423609523841568,2016-09-01,106.527,0.09584214235377389,1.7032164440583202,2016-09-01,241.176,0.2623209794425161,1.5486446201652213,2016-09-01,-5.0,-0.09999999999999964,0.0,2016-09-01,144953.0,289.0,2672.0,2016-09-01,51.7,2.3000000000000043,1.5,2016-09-01,56.6,4.899999999999999,-0.29999999999999716,2016-09-01,191281.0,0.29362262152568414,1.2599192169443254,2016-09-01,558.0,-2.9565217391304346,22.36842105263158,2.7315465580830143,1.9082684500785483,-0.07374026751178223,2.4815465580830143,1.6582684500785483,-0.3237402675117822,0.17533294305824398,0.23707087644854852,-0.03556063146728228
