ds,yhat,yhat_lower,yhat_upper,recession
1969-03-01,-0.017331135146047758,-0.82811804943317,0.7804242655148083,Recessionary Period
1969-04-01,0.15620553028359743,-0.656584731314973,0.9767278044916562,Non-recessionary Period
1969-05-01,0.29370139523797006,-0.514861453507226,1.0879530355676414,Non-recessionary Period
1969-06-01,0.34660181819967917,-0.45946512009954815,1.1558186176076954,Non-recessionary Period
1969-07-01,0.36351323737972413,-0.4344899380453158,1.163347487979475,Non-recessionary Period
1969-08-01,0.39450345635416995,-0.4245429203028558,1.1901349602204219,Non-recessionary Period
1969-09-01,0.4814381105700916,-0.33256365292945056,1.2958687112697074,Non-recessionary Period
1969-10-01,0.5851260328071519,-0.22173265535558276,1.3990728123188785,Non-recessionary Period
1969-11-01,0.6317866580276478,-0.17833386665480339,1.4337485759246342,Non-recessionary Period
1969-12-01,0.6776662631207125,-0.13316459463011868,1.4777527770830938,Non-recessionary Period
1970-01-01,0.8081861477639158,-0.004204817451909953,1.6119308068917166,Non-recessionary Period
1970-02-01,0.9192653083042822,0.11390317294748699,1.7288500485808953,Non-recessionary Period
1970-03-01,1.0083944708948052,0.19067380103105402,1.806509350842995,Non-recessionary Period
1970-04-01,1.1817237894002974,0.38381980166901963,1.9895122938209553,Non-recessionary Period
1970-05-01,1.320992258228705,0.5137179711101478,2.1332033436634426,Non-recessionary Period
1970-06-01,1.3720201589352907,0.5588648244096657,2.1758012143329637,Non-recessionary Period
1970-07-01,1.3916604760045561,0.5899910130182849,2.1899258692076353,Non-recessionary Period
1970-08-01,1.4217588913358497,0.6234466210681961,2.2229444805052174,Non-recessionary Period
1970-09-01,1.5077161428177224,0.6992321020571266,2.322088914294079,Non-recessionary Period
1970-10-01,1.6112774822475044,0.8083712817858636,2.410732165734664,Non-recessionary Period
1970-11-01,1.6580514998958167,0.8446986659104884,2.461317796487211,Non-recessionary Period
1970-12-01,1.706034704721435,0.9072452644375076,2.5198617676608936,Non-recessionary Period
1971-01-01,1.833688547137741,1.0229671898063954,2.633958898556306,Non-recessionary Period
1971-02-01,1.9427410128800047,1.132269983333483,2.7313252642522623,Non-recessionary Period
1971-03-01,2.0363062402539045,1.2187768602891138,2.843853547605195,Non-recessionary Period
1971-04-01,2.212618241034459,1.4119391991801815,3.0174175198847197,Non-recessionary Period
