"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-07",97.9555,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-08",98.21934,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-09",98.24021,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-10",98.13757,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-11",97.93258,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-12",97.79275,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-01",97.83476,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-02",98.26433,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-03",99.23957,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-04",100.3705,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-05",101.0446,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-06",101.3064,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-07",101.4908,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-08",101.772,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-09",102.0027,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-10",102.0245,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-11",101.9808,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-12",102.106,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-01",102.0124,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-02",101.7946,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-03",101.343,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-04",100.6087,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-05",99.93706,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-06",99.50063,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-07",99.28536,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-08",99.19568,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-09",99.31712,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-10",99.65121,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-11",100.1123,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1962-12",100.4773,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-01",100.5396,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-02",100.548,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-03",100.6716,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-04",100.9676,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-05",101.1633,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-06",101.0461,
